title,source_site,source_url,publish_date,event_year,enroll_start,enroll_end,organizer,category,summary,status,keyword_hit,raw_date_text,crawled_at
TI杯2026年全国大学生电子设计竞赛 TI 培训系列直播,全国大学生电子设计竞赛,https://www.nuedc-training.com.cn/index/huodong/live_topic2026,,2026,,,全国大学生电子设计竞赛,电子设计,TI杯2026年全国大学生电子设计竞赛 TI 培训系列直播,new,竞赛,2026年,2026-06-04 09:54:41
电赛集训营 助你备战 2026年TI杯全国大学生电子设计竞赛 系列培训课程,全国大学生电子设计竞赛,https://www.nuedc-training.com.cn/index/huodong/btq_course_2026,,2026,,,全国大学生电子设计竞赛,电子设计,电赛集训营 助你备战 2026年TI杯全国大学生电子设计竞赛 系列培训课程,new,竞赛,2026年,2026-06-04 09:54:41
关于开展2026年全国大学生电子设计竞赛 模拟电子系统设计专题赛的第一次通知,全国大学生电子设计竞赛,https://www.nuedc-training.com.cn/index/news/details/new_id/345,,2026,,,全国大学生电子设计竞赛,电子设计,关于开展2026年全国大学生电子设计竞赛 模拟电子系统设计专题赛的第一次通知,new,竞赛,2026年,2026-06-04 09:54:41
关于组织2026年全国大学生电子设计竞赛专题竞赛的通知,全国大学生电子设计竞赛,https://www.nuedc-training.com.cn/index/news/details/new_id/343,,2026,,,全国大学生电子设计竞赛,电子设计,关于组织2026年全国大学生电子设计竞赛专题竞赛的通知,new,竞赛,2026年,2026-06-04 09:54:41
关于2026年全国大学生电子设计竞赛模拟电子系统设计专题赛（TI杯） TI指定器件及免费获取板卡方式的说明,全国大学生电子设计竞赛,https://www.nuedc-training.com.cn/index/news/details/new_id/351,,2026,,,全国大学生电子设计竞赛,电子设计,关于2026年全国大学生电子设计竞赛模拟电子系统设计专题赛（TI杯） TI指定器件及免费获取板卡方式的说明,new,竞赛,2026年,2026-06-04 09:54:41
关于公布2026年全国大学生电子设计竞赛信息科技前沿专题赛初赛 获奖名单的通知,全国大学生电子设计竞赛,https://www.nuedc-training.com.cn/index/news/details/new_id/350,,2026,,,全国大学生电子设计竞赛,电子设计,关于公布2026年全国大学生电子设计竞赛信息科技前沿专题赛初赛 获奖名单的通知,new,竞赛,2026年,2026-06-04 09:54:41
关于公布2026年（第十三届）英特尔杯大学生电子设计竞赛嵌入式AI专题赛 入围参赛队名单的通知,全国大学生电子设计竞赛,https://www.nuedc-training.com.cn/index/news/details/new_id/349,,2026,,,全国大学生电子设计竞赛,电子设计,关于公布2026年（第十三届）英特尔杯大学生电子设计竞赛嵌入式AI专题赛 入围参赛队名单的通知,new,竞赛,2026年,2026-06-04 09:54:41
关于公布2026年全国大学生电子设计竞赛信息科技前沿专题赛初赛 获奖名单(初评)的通知,全国大学生电子设计竞赛,https://www.nuedc-training.com.cn/index/news/details/new_id/348,,2026,,,全国大学生电子设计竞赛,电子设计,关于公布2026年全国大学生电子设计竞赛信息科技前沿专题赛初赛 获奖名单(初评)的通知,new,竞赛,2026年,2026-06-04 09:54:41
关于召开2025年全国大学生电子设计竞赛总结暨颁奖大会的通知,全国大学生电子设计竞赛,https://www.nuedc-training.com.cn/index/news/details/new_id/341,,2025,,,全国大学生电子设计竞赛,电子设计,关于召开2025年全国大学生电子设计竞赛总结暨颁奖大会的通知,new,竞赛,2025年,2026-06-04 09:54:41
关于公布2025年全国大学生电子设计竞赛获奖名单的通知,全国大学生电子设计竞赛,https://www.nuedc-training.com.cn/index/news/details/new_id/340,,2025,,,全国大学生电子设计竞赛,电子设计,关于公布2025年全国大学生电子设计竞赛获奖名单的通知,new,竞赛,2025年,2026-06-04 09:54:41
关于公布2025年全国大学生电子设计竞赛获奖名单（初评）的通知,全国大学生电子设计竞赛,https://www.nuedc-training.com.cn/index/news/details/new_id/339,,2025,,,全国大学生电子设计竞赛,电子设计,关于公布2025年全国大学生电子设计竞赛获奖名单（初评）的通知,new,竞赛,2025年,2026-06-04 09:54:41
竞赛支持企业,全国大学生电子设计竞赛,https://www.nuedc-training.com.cn/index/huodong/cse,,,,,全国大学生电子设计竞赛,电子设计,竞赛支持企业,new,竞赛,,2026-06-04 09:54:41
